Notes,Time Placed,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,PRICE,Fill Type,TIF,Status
,2/23/17 21:53:43,VERTICAL,SELL,-2,TO OPEN,TSLA,17 MAR 17,280,CALL,0.97,LMT,DAY,FILLED
,,,BUY,2,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/23/17 21:53:29,VERTICAL,SELL,-2,TO OPEN,TSLA,17 MAR 17,280,CALL,0.97,LMT,DAY,FILLED
,,,BUY,2,TO CLOSE,TSLA,17 MAR 17,290,CALL,<empty>,,,
,2/23/17 21:38:05,VERTICAL,BUY,2,TO CLOSE,TSLA,17 MAR 17,260,PUT,7.88,LMT,DAY,FILLED
,,,SELL,-2,TO OPEN,TSLA,17 MAR 17,245,PUT,<empty>,,,
,2/23/17 21:26:41,VERTICAL,SELL,-2,TO OPEN,TSLA,17 MAR 17,257.5,CALL,6.26,LMT,DAY,FILLED
,,,BUY,2,TO CLOSE,TSLA,17 MAR 17,280,CALL,<empty>,,,
,2/23/17 12:17:33,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,260,PUT,-1,LMT,DAY,FILLED
,,RE #1431900263,SELL,-3,TO CLOSE,TSLA,17 MAR 17,250,PUT,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/23/17 12:16:51,~BUTTERFLY,BUY,1,TO CLOSE,TSLA,17 MAR 17,260,PUT,-1,LMT,DAY,FILLED
,,RE #1431900242,SELL,-3,TO CLOSE,TSLA,17 MAR 17,250,PUT,<empty>,,,
,,,BUY,2,TO OPEN,TSLA,17 MAR 17,240,PUT,<empty>,,,
,2/21/17 23:03:10,DIAGONAL,BUY,2,TO OPEN,TSLA,21 APR 17,250,CALL,22.15,LMT,DAY,FILLED
,,,SELL,-2,TO OPEN,TSLA,17 MAR 17,280,CALL,<empty>,,,
,2/14/17 12:20:40,VERTICAL,SELL,-4,TO OPEN,TSLA,17 MAR 17,260,PUT,1.97,LMT,DAY,FILLED
,,,BUY,4,TO OPEN,TSLA,17 MAR 17,250,PUT,<empty>,,,
,2/14/17 12:19:03,VERTICAL,SELL,-4,TO CLOSE,TSLA,17 MAR 17,300,CALL,1.27,LMT,DAY,FILLED
,,,BUY,4,TO OPEN,TSLA,17 MAR 17,305,CALL,<empty>,,,
,2/14/17 06:39:51,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/14/17 06:39:39,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/14/17 06:39:23,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/14/17 06:39:05,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/14/17 06:38:19,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/14/17 06:38:05,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
,,,SELL,-1,TO CLOSE,TSLA,17 FEB 17,290,CALL,<empty>,,,
,2/14/17 06:37:51,VERT ROLL,SELL,-1,TO OPEN,TSLA,17 MAR 17,295,CALL,0.21,LMT,DAY,FILLED
,,,BUY,1,TO OPEN,TSLA,17 MAR 17,300,CALL,<empty>,,,
,,,BUY,1,TO CLOSE,TSLA,17 FEB 17,285,CALL,<empty>,,,
